NO,NAMA KAMERA,LOKASI,RINCIAN LOKASI,X_KOOR,Y_KOOR,JARINGAN,NVR,MERK,MODEL
111,NGAGEL JAYA UTARA GEREJA UTARA FIX,SIMPANG,Simpang Ngagel Jaya Utara Gereja Hadap Utara,112.7599708,-7.289418413,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
112,NGAGEL JAYA UTARA GEREJA TIMUR PTZ,SIMPANG,Simpang Ngagel Jaya Utara Gereja Hadap Timur,112.7601045,-7.289336102,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
113,NGAGEL JAYA UTARA GEREJA PANO,SIMPANG,Simpang Ngagel Jaya Utara Gereja Hadap Tengah,112.7598818,-7.289295377,TELKOM,SELATAN,HIKVISION,DS-2CD6986F-H
114,MANYAR NGAGEL BARAT FIX,SIMPANG,Manyar Ngagel LP3I Hadap Barat,112.7625008,-7.293564031,KOMINFO,SELATAN,HIKVISION,DS-2CD4232FWD-IZS
115,MANYAR NGAGEL UTARA FIX,SIMPANG,Manyar Ngagel LP3I Hadap Utara,112.7622265,-7.293691252,KOMINFO,SELATAN,HIKVISION,DS-2CD4A26FWD-IZ
116,MANYAR NGAGEL TIMUR FIX,SIMPANG,Manyar Ngagel LP3I Hadap Timur,112.7623451,-7.293851445,KOMINFO,SELATAN,HIKVISION,DS-2CD4A26FWD-IZ
117,MANYAR NGAGEL SELATAN PTZ,SIMPANG,Manyar Ngagel LP3I Hadap Selatan,112.7622755,-7.293853123,KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
118,RUNGKUT KIDUL BARAT PTZ,SIMPANG,Simpang Rungkut Kidul Hadap Barat,112.7686095,-7.330925881,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
119,RUNGKUT KIDUL UTARA PTZ,SIMPANG,Simpang Rungkut Kidul Hadap Utara,112.7687401,-7.33083916,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
120,RUNGKUT KIDUL TIMUR PTZ,SIMPANG,Simpang Rungkut Kidul Hadap Timur,112.7688424,-7.331270032,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
121,RUNGKUT ALANG-ALANG UTARA PTZ,SIMPANG,Simpang Rungkut Alang - Alang Hadap Utara,112.7696502,-7.322519971,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
122,RUNGKUT ALANG-ALANG SELATAN PTZ,SIMPANG,Simpang Rungkut Alang - Alang Hadap Selatan,112.7697523,-7.322160751,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
123,RUNGKUT ALANG-ALANG TIMUR PTZ,SIMPANG,Simpang Rungkut Alang - Alang Hadap Timur,112.7696322,-7.322408574,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
124,A YANI KETINTANG BARU PANO,SIMPANG,Simpang Ahmad Yani Jalur Utama Pano,"112,733,310","-7,319,229",KOMINFO,SELATAN,HIKVISION,DS-2CD6986F-H
125,BANGKINGAN - SUMUR WELUT TIMUR PTZ,SIMPANG,Simpang Jl. Bangkingan - Jl. Sumur Welut Hadap Timur,"112,650,582","-7,323,587",TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
126,PERTIGAAN MARMOYO PTZ,RUAS,Jl. Darmo - Jl. Marmoyo,"112,739,484","-7,296,811",TELKOM,SELATAN,Unidentified,Unidentified
127,AHMAD YANI KEJATI PTZ,RUAS,Jl. Ahmad Yani Seberang Kejati,"112,734,656","-7,313,555",TELKOM,SELATAN,Unidentified,Unidentified
128,KARAH PTZ,SIMPANG,Unidentified,112.7195775,-7.3090327,TELKOM,SELATAN,HIKVISION,Unidentified
,,,,,,,,,
129,DIPONEGORO CILIWUNG UTARA PTZ,SIMPANG, Jl. Diponegoro - Ciliwung Hadap Utara,112.7372262,-7.292518904,KOMINFO,BARAT,HIKVISION,DS-2CD2642FWD-I
130,DIPONEGORO CILIWUNG BARAT PTZ,SIMPANG, Jl. Diponegoro - Ciliwung Hadap Barat,112.7369727,-7.292378389,KOMINFO,BARAT,HIKVISION,DS-2CD2642FWD-I
131,DIPONEGORO CILIWUNG SELATAN FIX,SIMPANG, Jl. Diponegoro - Ciliwung Hadap Selatan,112.7372079,-7.29196228,KOMINFO,BARAT,HIKVISION,DS-2DY3320IW-DE
132,DIPONEGORO KUTAI  PANO,SIMPANG,Simpang Diponegoro - Kutei,112.7362316,-7.290368627,KOMINFO,BARAT,HIKVISION,DS-2CD6986F-H
133,DIPONEGORO KUTAI TIMUR FIX,SIMPANG,Simpang Diponegoro - Kutei Hadap Barat,112.7360114,-7.290269188,KOMINFO,BARAT,MAGIC VISION,MVS-414232-IRMVF
134,DIPONEGORO MUSI UTARA PTZ,SIMPANG,Simpang Diponegoro - Musi Hadap Utara,112.7342724,-7.286213741,KOMINFO,BARAT,HIKVISION,DS-2CD4232FWD-IZS
135,DIPONEGORO MUSI SELATAN FIX,SIMPANG,Simpang Diponegoro - Musi Hadap Selatan,112.7342484,-7.286472677,KOMINFO,BARAT,HIKVISION,DS-2CD4232FWD-IZS
136,DIPONEGORO MUSI DOME  ,SIMPANG,Simpang Diponegoro - Musi Dome Hadap Utara,112.7342796,-7.286372479,KOMINFO,BARAT,MAGIC VISION,MV-9048-812-SD
137,MUSI OPAK BARAT PTZ,SIMPANG,Simpang Jl. Musi - Jl. Opak Hadap Barat,112.7333374,-7.28682313,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
138,INDRAGIRI GOR PTZ,SIMPANG,Simpang Jl. Indragiri - Jl. Musi FIX 1,112.7316004,-7.287776051,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
139,DIPONEGORO SOETOMO TIMUR FIX,SIMPANG,Simpang Diponegoro - Dr. Soetomo Hadap Timur,112.7331874,-7.284602945,KOMINFO,BARAT,HIKVISION,DS-2DY3320IW-DE
140,DIPONEGORO SOETOMO SELATAN FIX,SIMPANG,Simpang Diponegoro - Dr. Soetomo Hadap Selatan,"112,733,338","-7,284,595",KOMINFO,BARAT,Unidentified,Unidentified
141,DIPONEGORO SOETOMO UTARA FIX,SIMPANG,Simpang Diponegoro - Dr. Soetomo Hadap Utara,"112,733,402","-7,284,340",KOMINFO,BARAT,Unidentified,Unidentified
142,DIPONEGORO KARTINI PTZ,SIMPANG,Simpang Jl Diponegoro - jl Kartini Arah Keluar Kota,112.729201,-7.278062,KOMINFO,BARAT,MAGIC VISION,MV-91021-IR-SD-OD
143,BANYU URIP POSPOL PTZ,SIMPANG,Simpang Jl. Diponegoro - Ps Kembang - Banyu Urip (pos polisi)  Hadap Barat,"112,726,695","-7,274,829",KOMINFO,BARAT,HIKVISION,DS-2DY3320IW-DE
144,BANYU URIP PUTAT PTZ ,SIMPANG,Simpang Banyu Urip - Girilaya Hadap Timur,"112,726,196","-7,274,834",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
145,BANYU URIP TOKO EMAS PTZ,SIMPANG,Simpang Jl. Diponegoro - Ps Kembang - Banyu Urip (Toko Emas),"112,726,929","-7,275,089",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
146,PASAR KEMBANG ARJUNO PTZ,SIMPANG,Simpang Kedungdoro Arjuno Hadap Selatan,112.729069,-7.268724,KOMINFO,BARAT,HIKVISION,DS-2DY3320IW-DE
147,KEDUNGDORO KEDUNGSARI PTZ,SIMPANG,Simpang Kedungdoro - Kedungsari Hadap Timur,112.730242,-7.26554,KOMINFO,BARAT,HIKVISION,DS-2DY3320IW-DE
148,KEDUNGDORO KEDUNGSARI SELATAN FIX,SIMPANG,Simpang Kedungdoro - Kedungsari Hadap Selatan,"112,730,234","-7,265,568",KOMINFO,BARAT,Unidentified,Unidentified
149,BANYU URIP TOL SELATAN FIX,SIMPANG,Banyu urip Tol Simokalangan Hadap Barat,"112,707,140","-7,266,119",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
150,BANYU URIP TOL BARAT FIX,SIMPANG,Banyu urip Tol Simokalangan Hadap Timur,"112,707,139","-7,266,268",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
151,BANYU URIP TOL TIMUR FIX,SIMPANG,Banyu urip Tol Simokalangan Hadap Utara,"112,706,981","-7,266,134",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
152,SUKOMANUNGGAL SATELITE BARAT FIX,SIMPANG,Simpang Sukomanunggal Satelite Hadap Utara,112.6949481,-7.262576442,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
153,SUKOMANUNGGAL SATELITE TIMUR FIX,SIMPANG,Simpang Sukomanunggal Satelite Hadap Timur,112.6951777,-7.262814838,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
154,SUKOMANUNGGAL SATELITE SELATAN FIX,SIMPANG,Simpang Sukomanunggal Satelite Hadap Selatan,112.6950342,-7.262757975,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
155,SUKOMANUNGGAL SATELITE PANO,SIMPANG,Simpang Sukomanunggal Satelite,112.6951484,-7.262612288,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
156,TANDES - TANJUNGSARI DOME,SIMPANG,Simpang Tandes -  Tanjungsari,"112,692,089","-7,260,766",TELKOM,BARAT,VIVOTEK,VIVOTEK
157,TANDES - TANJUNGSARI BARAT PTZ,SIMPANG,Simpang Tandes -  Tanjungsari Hadap Barat,"112,692,300","-7,260,745",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
158,TANDES - TANJUNGSARI UTARA FIX,SIMPANG,Simpang Tandes -  Tanjungsari Hadap Utara,"112,692,365","-7,260,629",TELKOM,BARAT,HIKVISION,DS-2CD4232FWD-IZS
159,TANDES IMIGRASI BARAT FIX,SIMPANG,Simpang Jl. Raya Darmo Indah Selatan - Jl. Tandes Hadap Barat,"112,684,871","-7,259,171",TELKOM,BARAT,HIKVISION,DS-2CD3T45G0-4I/SP
160,TANDES IMIGRASI SELATAN FIX,SIMPANG,Simpang Jl. Raya Darmo Indah Selatan - Jl. Tandes Hadap Selatan,"112,684,908","-7,259,136",TELKOM,BARAT,HIKVISION,DS-2CD3T45G0-4I/SP
161,TANDES IMIGRASI TIMUR FIX,SIMPANG,Simpang Jl. Raya Darmo Indah Selatan - Jl. Tandes Hadap Timur,"112,685,027","-7,259,283",TELKOM,BARAT,HIKVISION,DS-2CD3T45G0-4I/SP
162,KYAI AMIR PANO,SIMPANG,Simpang Kyai Amir - Manukan,"112,668,591","-7,257,186",TELKOM,BARAT,Unidentified,Unidentified
163,KYAI AMIR TIMUR PTZ,SIMPANG,Simpang Kyai Amir - Manukan Hadap Timur,"112,668,614","-7,257,215",TELKOM,BARAT,Unidentified,Unidentified
164,KYAI AMIR BARAT PTZ,SIMPANG,Simpang Kyai Amir - Manukan Hadap Barat,"112,668,519","-7,257,134",TELKOM,BARAT,Unidentified,Unidentified
165,KYAI AMIR SELATAN PTZ,SIMPANG,Simpang Kyai Amir - Manukan Hadap Selatan,"112,668,551","-7,257,185",TELKOM,BARAT,Unidentified,Unidentified
166,SEMEMI RS BDH PANO,SIMPANG,Simpang Jl. Raya Sememi - Jl. Kendung (arah RS BDH),112.636342,-7.24611397,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
167,SDN BENOWO 1 PANO,OBJEK VITAL,Jl. Raya Benowo (SDN Benowo),112.6092879,-7.235535973,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
168,TERMINAL MANUKAN FIX,OBJEK VITAL,Terminal Manukan,"112,666,130","-7,268,306",TELKOM,BARAT,Unidentified,Unidentified
169,ADITYAWARMAN INDRAGIRI PTZ,SIMPANG,Simpang Adityawarman - Indragiri Hadap Barat,112.7298657,-7.29297096,KOMINFO,BARAT,MAGIC VISION,MV-9048-812-SD
170,ADITYAWARMAN INDRAGIRI BARAT FIX,SIMPANG,Simpang Adityawarman - Indragiri Hadap Barat,112.7295802,-7.292762364,KOMINFO,BARAT,MAGIC VISION,MVS-414232-IRMVF
171,ADITYAWARMAN INRAGIRI UTARA FIX,SIMPANG,Simpang Adityawarman - Indragiri Hadap Utara,112.7298266,-7.293044808,KOMINFO,BARAT,MAGIC VISION,MVS-414232-IRMVF
172,ADITYAWARMAN INRAGIRI TIMUR FIX ,SIMPANG,Simpang Adityawarman - Indragiri Hadap Timur,112.729889,-7.292717169,KOMINFO,BARAT,MAGIC VISION,MVS-414232-IRMVF
173,MAYJEND SUNGKONO DIPONGGO PANO,SIMPANG,Simpang mAyjend Sungkono - Bintang Diponggo,112.7188462,-7.291887355,KOMINFO,BARAT,HIKVISION,DS-2CD6986F-H
174,MAYJEND SUNGKONO CIWO BARAT FIX ,SIMPANG,Simpang Mayjend Sungkono - Bintang Diponggo Hadap Barat,112.7186866,-7.291684153,KOMINFO,BARAT,HIKVISION,MVS-414232-IRMVF
175,MAYJEND SUNGKONO DIPONGGO UTARA FIX,SIMPANG,Simpang Mayjend Sungkono - Bintang Diponggo Hadap Utara,112.7190002,-7.29178829,KOMINFO,BARAT,MAGIC VISION,MVS-414232-IRMVF
176,MAYJEND SUNGKONO CIWO TIMUR FIX ,SIMPANG,Simpang Mayjend Sungkono - Bintang Diponggo Hadap Timur,112.7188462,-7.291887355,KOMINFO,BARAT,HIKVISION,Unidentified
177,MAYJEND SUNGKONO TVRI PANO,SIMPANG,Simpang  Mayjen Sungkono - Jl. Dukuh Kupang (depan TVRI),112.7135438,-7.290546674,KOMINFO,BARAT,HIKVISION,DS-2CD6986F-H
178,MAYJEND SUNGKONO TVRI BARAT FIX,SIMPANG,Simpang  Mayjen Sungkono - Jl. Dukuh Kupang (depan TVRI) Hadap Barat,112.7132773,-7.290285641,KOMINFO,BARAT,MAGIC VISION,MVS-414232-IRMVF
179,MAYJEND SUNGKONO TVRI TIMUR FIX,SIMPANG,Simpang  Mayjen Sungkono - Jl. Dukuh Kupang (depan TVRI) Hadap Timur,112.7135621,-7.29047417,KOMINFO,BARAT,MAGIC VISION,MVS-414232-IRMVF
180,MAYJEND SUNGKONO DUKUH KUPANG SELATAN ,SIMPANG,Simpang  Mayjen Sungkono - Jl. Dukuh Kupang (depan TVRI) Hadap Selatan,112.713515,-7.29017587,KOMINFO,BARAT,MAGIC VISION,MVS-414232-IRMVF
181,BUNDARAN SATELITE EXIT TOL FIX,SIMPANG,Bundaran Satelit - TOL,112.7054975,-7.288569442,KOMINFO,BARAT,HIKVISION,DS-2DY3320IW-DE
182,BUNDARAN SATELIT- NGESONG FIX,SIMPANG,Bundaran Satelite -  Ngesong Hadap Utara,112.7059172,-7.287134607,KOMINFO,BARAT,HIKVISION,DS-2CD4232FWD-IZS
183,UNDERPASS TMP SATELITE TIMUR FIX,RUAS,Mayjend Sungkono Depan TMP,"112,707,375","-7,288,461",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
184,HR MUHAMMAD PTC TIMUR FIX,SIMPANG,Hr Muhammad Yonosoewoyo Hadap Timur,112.6848839,-7.28151402,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
185,HR MUHAMMAD PTC SELATAN PTZ,SIMPANG,Hr Muhammad Yonosoewoyo Hadap Selatan,112.6848509,-7.281588649,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
186,HR MUHAMMAD PTC BARAT PTZ,SIMPANG,Hr Muhammad Yonosoewoyo Hadap Barat,"112,684,613","-7,281,292",TELKOM,BARAT,Unidentified,Unidentified
187,DARMO INDAH SELATAN HADAP TIMUR FIX,SIMPANG,Simpang Darmo Indah - Darmo Indah Selatan VII (hadap timur),112.683618,-7.263810179,TELKOM,BARAT,MAGIC VISION,MVS-414232-IRMVF
188,DARMO INDAH SELATAN HADAP BARAT FIX,SIMPANG,Simpang Darmo Indah - Darmo Indah Selatan VII (hadap barat),112.6839078,-7.263888223,TELKOM,BARAT,MAGIC VISION,MVS-414232-IRMVF
189,BALONGSARI TAMA BARAT FIX,SIMPANG,Simpang Balongsari - Balongsari Tama (hadap barat),112.6773491,-7.263970112,TELKOM,BARAT,HIKVISION,MVS-414232-IRMVF
190,BALONGSARI TAMA UTARA FIX,SIMPANG,Simpang Balongsari - Balongsari Tama (hadap utara),112.6773882,-7.26403968,TELKOM,BARAT,HIKVISION,DS-2CD4232FWD-IZS
191,BALONGSARI PRAJA SELATAN FIX,SIMPANG,Simpang Balongsari - Balongsari Tama (hadap selatan),112.6774481,-7.263923851,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
192,BALONGSARI TAMA PANO,SIMPANG,Simpang Balongsari - Balongsari Tama,112.6774242,-7.263948492,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
193,ADITYAWARMAN SUTOS SELATAN FIX,SIMPANG,Jl. Adityawarman - Jl. Kutai Hadap Selatan,112.7316207,-7.294568678,KOMINFO,BARAT,HIKVISION,DS-2CD2642FWD-I
194,ADITYAWARMAN SUTOS UTARA FIX,SIMPANG,Jl. Adityawarman - Jl. Kutai Hadap Utara,112.7318964,-7.294231007,KOMINFO,BARAT,HIKVISION,DS-2CD2642FWD-I
195,ADITYAWARMAN SUTOS PANOVU,SIMPANG,Simpang Adityawarman - Kutai (barat),112.7317433,-7.294609959,KOMINFO,BARAT,HIKVISION,DS-2CD6986F-H
196,SUKOMANUNGGAL KUPANG JAYA UTARA PTZ,SIMPANG,Simpang Sukomanunggal - Kupang Jaya Hadap Utara,112.6984543,-7.273787784,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
197,SUKOMANUNGGAL KUPANG JAYA TIMUR PTZ,SIMPANG,Simpang Sukomanunggal - Kupang Jaya Hadap Timur,112.6986696,-7.274103652,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
198,SUKOMANUNGGAL KUPANG JAYA PANO,SIMPANG,Simpang Sukomanunggal - Kupang Jaya,112.6985059,-7.274193804,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
199,KUPANG JAYA KUPANG INDAH TIMUR PTZ,SIMPANG,Simpang Kupang Jaya - Kupang Indah Hadap Timur,112.7082135,-7.275835932,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
